DATE,MORTGAGE30US
2014-01-02,4.53
2014-01-09,4.51
2014-01-16,4.41
2014-01-23,4.39
2014-01-30,4.32
2014-02-06,4.23
2014-02-13,4.28
2014-02-20,4.33
2014-02-27,4.37
2014-03-06,4.28
2014-03-13,4.37
2014-03-20,4.32
2014-03-27,4.40
2014-04-03,4.41
2014-04-10,4.34
2014-04-17,4.27
2014-04-24,4.33
2014-05-01,4.29
2014-05-08,4.21
2014-05-15,4.20
2014-05-22,4.14
2014-05-29,4.12
2014-06-05,4.14
2014-06-12,4.20
2014-06-19,4.17
2014-06-26,4.14
2014-07-03,4.12
2014-07-10,4.15
2014-07-17,4.13
2014-07-24,4.13
2014-07-31,4.12
2014-08-07,4.14
2014-08-14,4.12
2014-08-21,4.10
2014-08-28,4.10
2014-09-04,4.10
2014-09-11,4.12
2014-09-18,4.23
2014-09-25,4.20
2014-10-02,4.19
2014-10-09,4.12
2014-10-16,3.97
2014-10-23,3.92
2014-10-30,3.98
2014-11-06,4.02
2014-11-13,4.01
2014-11-20,3.99
2014-11-26,3.97
2014-12-04,3.89
2014-12-11,3.93
2014-12-18,3.80
2014-12-24,3.83
2014-12-31,3.87
2015-01-08,3.73
2015-01-15,3.66
2015-01-22,3.63
2015-01-29,3.66
2015-02-05,3.59
2015-02-12,3.69
2015-02-19,3.76
2015-02-26,3.80
2015-03-05,3.75
2015-03-12,3.86
2015-03-19,3.78
2015-03-26,3.69
2015-04-02,3.70
2015-04-09,3.66
2015-04-16,3.67
2015-04-23,3.65
2015-04-30,3.68
2015-05-07,3.80
2015-05-14,3.85
2015-05-21,3.84
2015-05-28,3.87
2015-06-04,3.87
2015-06-11,4.04
2015-06-18,4.00
2015-06-25,4.02
2015-07-02,4.08
2015-07-09,4.04
2015-07-16,4.09
2015-07-23,4.04
2015-07-30,3.98
2015-08-06,3.91
2015-08-13,3.94
2015-08-20,3.93
2015-08-27,3.84
2015-09-03,3.89
2015-09-10,3.90
2015-09-17,3.91
2015-09-24,3.86
2015-10-01,3.85
2015-10-08,3.76
2015-10-15,3.82
2015-10-22,3.79
2015-10-29,3.76
2015-11-05,3.87
2015-11-12,3.98
2015-11-19,3.97
2015-11-25,3.95
2015-12-03,3.93
2015-12-10,3.95
2015-12-17,3.97
2015-12-24,3.96
2015-12-31,4.01
2016-01-07,3.97
2016-01-14,3.92
2016-01-21,3.81
2016-01-28,3.79
2016-02-04,3.72
2016-02-11,3.65
2016-02-18,3.65
2016-02-25,3.62
2016-03-03,3.64
2016-03-10,3.68
2016-03-17,3.73
2016-03-24,3.71
2016-03-31,3.71
2016-04-07,3.59
2016-04-14,3.58
2016-04-21,3.59
2016-04-28,3.66
2016-05-05,3.61
2016-05-12,3.57
2016-05-19,3.58
2016-05-26,3.64
2016-06-02,3.66
2016-06-09,3.60
2016-06-16,3.54
2016-06-23,3.56
2016-06-30,3.48
2016-07-07,3.41
2016-07-14,3.42
2016-07-21,3.45
2016-07-28,3.48
2016-08-04,3.43
2016-08-11,3.45
2016-08-18,3.43
2016-08-25,3.43
2016-09-01,3.46
2016-09-08,3.44
2016-09-15,3.50
2016-09-22,3.48
2016-09-29,3.42
2016-10-06,3.42
2016-10-13,3.47
2016-10-20,3.52
2016-10-27,3.47
2016-11-03,3.54
2016-11-10,3.57
2016-11-17,3.94
2016-11-23,4.03
2016-12-01,4.08
2016-12-08,4.13
2016-12-15,4.16
2016-12-22,4.30
2016-12-29,4.32
2017-01-05,4.20
2017-01-12,4.12
2017-01-19,4.09
2017-01-26,4.19
2017-02-02,4.19
2017-02-09,4.17
2017-02-16,4.15
2017-02-23,4.16
2017-03-02,4.10
2017-03-09,4.21
2017-03-16,4.30
2017-03-23,4.23
2017-03-30,4.14
2017-04-06,4.10
2017-04-13,4.08
2017-04-20,3.97
2017-04-27,4.03
2017-05-04,4.02
2017-05-11,4.05
2017-05-18,4.02
2017-05-25,3.95
2017-06-01,3.94
2017-06-08,3.89
2017-06-15,3.91
2017-06-22,3.90
2017-06-29,3.88
2017-07-06,3.96
2017-07-13,4.03
2017-07-20,3.96
2017-07-27,3.92
2017-08-03,3.93
2017-08-10,3.90
2017-08-17,3.89
2017-08-24,3.86
2017-08-31,3.82
2017-09-07,3.78
2017-09-14,3.78
2017-09-21,3.83
2017-09-28,3.83
2017-10-05,3.85
2017-10-12,3.91
2017-10-19,3.88
2017-10-26,3.94
2017-11-02,3.94
2017-11-09,3.9
2017-11-16,3.95
2017-11-22,3.92
2017-11-30,3.9
2017-12-07,3.94
2017-12-14,3.93
2017-12-21,3.94
2017-12-28,3.99
2018-01-04,3.95
2018-01-11,3.99
2018-01-18,4.04
2018-01-25,4.15
2018-02-01,4.22
2018-02-08,4.32
2018-02-15,4.38
2018-02-22,4.4
2018-03-01,4.43
2018-03-08,4.46
2018-03-15,4.44
2018-03-22,4.45
2018-03-29,4.44
2018-04-05,4.4
2018-04-12,4.42
2018-04-19,4.47
2018-04-26,4.58
2018-05-03,4.55
2018-05-10,4.55
2018-05-17,4.61
2018-05-24,4.66
2018-05-31,4.56
2018-06-07,4.54
2018-06-14,4.62
2018-06-21,4.57
2018-06-28,4.55
2018-07-05,4.52
2018-07-12,4.53
2018-07-19,4.52
2018-07-26,4.54
2018-08-02,4.6
2018-08-09,4.59
2018-08-16,4.53
2018-08-23,4.51
2018-08-30,4.52
2018-09-06,4.54
2018-09-13,4.6
2018-09-20,4.65
2018-09-27,4.72
2018-10-04,4.71
2018-10-11,4.9
2018-10-18,4.85
2018-10-25,4.86
2018-11-01,4.83
2018-11-08,4.94
2018-11-15,4.94
2018-11-21,4.81
2018-11-29,4.81
2018-12-06,4.75
2018-12-13,4.63
2018-12-20,4.62
